,Season,Experiment,Period,Institute,Model,Model Id,Ensemble,RCM Ver,TAS celsius,PR mm.day,TAS,PR,TAS variance,PR variance
0,annual,historical,1951-2000,CLMcom-ETH,ICHEC-EC-EARTH,COSMO-crCLIM-v1-1,r12i1p1,v1,1.739810947,2.449093412,274.8898109,2.83E-05,53.29127281,2.76E-09
1,annual,historical,1951-2000,CLMcom-ETH,MOHC-HadGEM2-ES,COSMO-crCLIM-v1-1,r1i1p1,v1,2.731402506,2.502869008,275.8814025,2.90E-05,54.01075786,2.92E-09
2,annual,historical,1951-2000,CLMcom-ETH,MPI-M-MPI-ESM-LR,COSMO-crCLIM-v1-1,r1i1p1,v1,2.875994724,2.706664723,276.0259947,3.13E-05,53.65890512,3.27E-09
3,annual,historical,1951-2000,CLMcom-ETH,MPI-M-MPI-ESM-LR,COSMO-crCLIM-v1-1,r2i1p1,v1,2.96120576,2.786326791,276.1112058,3.22E-05,51.76946856,3.38E-09
4,annual,historical,1951-2000,CLMcom-ETH,MPI-M-MPI-ESM-LR,COSMO-crCLIM-v1-1,r3i1p1,v1,2.877698395,2.686970741,276.0276984,3.11E-05,52.69999588,3.23E-09
5,annual,historical,1951-2000,CLMcom-ETH,NCC-NorESM1-M,COSMO-crCLIM-v1-1,r1i1p1,v1,2.140915586,2.640349903,275.2909156,3.06E-05,48.76527808,3.12E-09
6,annual,historical,1951-2000,CLMcom,CNRM-CERFACS-CNRM-CM5,CCLM4-8-17,r1i1p1,v1,1.457303803,2.034210666,274.6073038,2.35E-05,72.55193449,1.93E-09
7,annual,historical,1951-2000,CLMcom,ICHEC-EC-EARTH,CCLM4-8-17,r12i1p1,v1,1.628907452,2.371291355,274.7789075,2.74E-05,56.9571197,2.31E-09
8,annual,historical,1951-2000,CLMcom,MOHC-HadGEM2-ES,CCLM4-8-17,r1i1p1,v1,2.45276984,2.334785247,275.6027698,2.70E-05,58.93804957,2.35E-09
9,annual,historical,1951-2000,CLMcom,MPI-M-MPI-ESM-LR,CCLM4-8-17,r1i1p1,v1,2.386381622,2.533893717,275.5363816,2.93E-05,56.87104996,2.63E-09
10,annual,historical,1951-2000,DMI,CNRM-CERFACS-CNRM-CM5,HIRHAM5,r1i1p1,v2,1.615635304,2.835739909,274.7656353,3.28E-05,76.11585651,4.03E-09
11,annual,historical,1951-2000,DMI,ICHEC-EC-EARTH,HIRHAM5,r12i1p1,v1,1.727582985,2.974771756,274.877583,3.44E-05,56.1797373,4.31E-09
12,annual,historical,1951-2000,DMI,ICHEC-EC-EARTH,HIRHAM5,r1i1p1,v1,1.753632667,3.032353978,274.9036327,3.51E-05,56.79054463,4.49E-09
13,annual,historical,1951-2000,DMI,ICHEC-EC-EARTH,HIRHAM5,r3i1p1,v2,1.889102,2.96434245,275.039102,3.43E-05,54.98147258,4.31E-09
14,annual,historical,1951-2000,DMI,MOHC-HadGEM2-ES,HIRHAM5,r1i1p1,v2,2.903775555,3.114846817,276.0537756,3.61E-05,55.16090762,4.70E-09
15,annual,historical,1951-2000,DMI,MPI-M-MPI-ESM-LR,HIRHAM5,r1i1p1,v1,2.814085513,3.188611303,275.9640855,3.69E-05,56.89247293,4.70E-09
16,annual,historical,1951-2000,DMI,NCC-NorESM1-M,HIRHAM5,r1i1p1,v3,2.302681908,3.214089093,275.4526819,3.72E-05,44.69223662,4.82E-09
17,annual,historical,1951-2000,GERICS,CNRM-CERFACS-CNRM-CM5,REMO2015,r1i1p1,v2,1.975934271,2.619733557,275.1259343,3.03E-05,81.35324384,3.34E-09
18,annual,historical,1951-2000,GERICS,IPSL-IPSL-CM5A-LR,REMO2015,r1i1p1,v1,-2.562425808,2.370445407,270.5875742,2.74E-05,110.7078204,2.88E-09
19,annual,historical,1951-2000,GERICS,IPSL-IPSL-CM5A-MR,REMO2015,r1i1p1,v1,0.849780171,2.582566171,273.9997802,2.99E-05,80.47489833,3.35E-09
20,annual,historical,1951-2000,GERICS,MPI-M-MPI-ESM-LR,REMO2015,r3i1p1,v1,2.38047373,2.754467172,275.5304737,3.19E-05,64.05323972,3.71E-09
21,annual,historical,1951-2000,GERICS,NCC-NorESM1-M,REMO2015,r1i1p1,v1,2.548505166,2.956618537,275.6985052,3.42E-05,52.32418526,4.16E-09
22,annual,historical,1951-2000,GERICS,NOAA-GFDL-GFDL-ESM2G,REMO2015,r1i1p1,v1,-0.838805232,2.737734433,272.3111948,3.17E-05,91.4843853,3.48E-09
23,annual,historical,1951-2000,IPSL,CNRM-CERFACS-CNRM-CM5,WRF381P,r1i1p1,v2,2.239810947,2.142269314,275.3898109,2.48E-05,78.43556276,1.92E-09
24,annual,historical,1951-2000,IPSL,ICHEC-EC-EARTH,WRF381P,r12i1p1,v1,2.402429105,2.380001029,275.5524291,2.75E-05,54.7499897,2.24E-09
25,annual,historical,1951-2000,IPSL,IPSL-IPSL-CM5A-MR,WRF381P,r1i1p1,v1,-0.23875577,2.123468969,272.9112442,2.46E-05,95.67615822,2.06E-09
26,annual,historical,1951-2000,IPSL,MOHC-HadGEM2-ES,WRF381P,r1i1p1,v1,2.442300506,2.361717479,275.5923005,2.73E-05,62.99374863,2.25E-09
27,annual,historical,1951-2000,IPSL,NCC-NorESM1-M,WRF381P,r1i1p1,v1,2.129402066,2.502038343,275.2794021,2.90E-05,47.68066814,2.52E-09
28,annual,historical,1951-2000,KNMI,CNRM-CERFACS-CNRM-CM5,RACMO22E,r1i1p1,v2,0.445268191,2.281394417,273.5952682,2.64E-05,80.77930589,2.34E-09
29,annual,historical,1951-2000,KNMI,ICHEC-EC-EARTH,RACMO22E,r12i1p1,v1,0.824472412,2.449647849,273.9744724,2.84E-05,57.96642119,2.61E-09
30,annual,historical,1951-2000,KNMI,ICHEC-EC-EARTH,RACMO22E,r1i1p1,v1,0.708540339,2.450104927,273.8585403,2.84E-05,59.47726149,2.65E-09
31,annual,historical,1951-2000,KNMI,ICHEC-EC-EARTH,RACMO22E,r3i1p1,v1,0.985799077,2.421423345,274.1357991,2.80E-05,58.8061868,2.60E-09
32,annual,historical,1951-2000,KNMI,IPSL-IPSL-CM5A-MR,RACMO22E,r1i1p1,v1,-0.374444933,2.286657608,272.7755551,2.65E-05,78.11346587,2.43E-09
33,annual,historical,1951-2000,KNMI,MOHC-HadGEM2-ES,RACMO22E,r1i1p1,v2,1.680100022,2.534655042,274.8301,2.93E-05,60.72697296,2.82E-09
34,annual,historical,1951-2000,KNMI,MPI-M-MPI-ESM-LR,RACMO22E,r1i1p1,v1,1.752093867,2.608126319,274.9020939,3.02E-05,62.44094856,2.89E-09
35,annual,historical,1951-2000,KNMI,NCC-NorESM1-M,RACMO22E,r1i1p1,v1,1.023554627,2.543263961,274.1735546,2.94E-05,52.17178569,2.76E-09
36,annual,historical,1951-2000,MOHC,ICHEC-EC-EARTH,HadREM3-GA7-05,r12i1p1,v1,1.99857661,2.878215628,275.1485766,3.33E-05,64.65265718,4.03E-09
37,annual,historical,1951-2000,MOHC,MOHC-HadGEM2-ES,HadREM3-GA7-05,r1i1p1,v1,2.471949879,2.941476374,275.6219499,3.40E-05,70.44710376,4.14E-09
38,annual,historical,1951-2000,MOHC,MPI-M-MPI-ESM-LR,HadREM3-GA7-05,r1i1p1,v1,2.412596175,3.113955303,275.5625962,3.60E-05,76.42398055,4.51E-09
39,annual,historical,1951-2000,MPI-CSC,MPI-M-MPI-ESM-LR,REMO2009,r1i1p1,v1,2.734562541,2.743346163,275.8845625,3.18E-05,57.17446142,3.75E-09
40,annual,historical,1951-2000,MPI-CSC,MPI-M-MPI-ESM-LR,REMO2009,r2i1p1,v1,2.814772477,2.82192964,275.9647725,3.27E-05,54.77681908,3.95E-09
41,annual,historical,1951-2000,SMHI,CNRM-CERFACS-CNRM-CM5,RCA4,r1i1p1,v1,0.660452847,2.553903551,273.8104528,2.96E-05,83.0417262,2.80E-09
42,annual,historical,1951-2000,SMHI,ICHEC-EC-EARTH,RCA4,r12i1p1,v1,0.728599692,2.784318477,273.8785997,3.22E-05,64.21180479,3.02E-09
43,annual,historical,1951-2000,SMHI,ICHEC-EC-EARTH,RCA4,r1i1p1,v1,1.011958672,2.779154485,274.1619587,3.22E-05,62.7614723,3.05E-09
44,annual,historical,1951-2000,SMHI,ICHEC-EC-EARTH,RCA4,r3i1p1,v1,0.928918444,2.718979229,274.0789184,3.15E-05,62.69336667,2.94E-09
45,annual,historical,1951-2000,SMHI,IPSL-IPSL-CM5A-MR,RCA4,r1i1p1,v1,-0.236859749,2.522111007,272.9131403,2.92E-05,78.72970708,2.74E-09
46,annual,historical,1951-2000,SMHI,MOHC-HadGEM2-ES,RCA4,r1i1p1,v1,2.034381183,2.898156687,275.1843812,3.35E-05,58.94807925,3.29E-09
47,annual,historical,1951-2000,SMHI,MPI-M-MPI-ESM-LR,RCA4,r1i1p1,v1a,2.362420312,2.949553779,275.5124203,3.41E-05,59.92703067,3.41E-09
48,annual,historical,1951-2000,SMHI,MPI-M-MPI-ESM-LR,RCA4,r2i1p1,v1,2.0183337,2.988437119,275.1683337,3.46E-05,63.09072736,3.54E-09
49,annual,historical,1951-2000,SMHI,MPI-M-MPI-ESM-LR,RCA4,r3i1p1,v1,2.116981754,2.982673972,275.2669818,3.45E-05,63.48837657,3.39E-09
50,annual,historical,1951-2000,SMHI,NCC-NorESM1-M,RCA4,r1i1p1,v1,0.96579468,2.847031295,274.1157947,3.30E-05,59.56639509,3.22E-09
51,annual,rcp26,2031-2060,CLMcom,ICHEC-EC-EARTH,CCLM4-8-17,r12i1p1,v1,3.471537701,2.474210634,276.6215377,2.86E-05,48.63991743,2.61E-09
52,annual,rcp26,2031-2060,CLMcom,MIROC-MIROC5,CCLM4-8-17,r1i1p1,v1,3.420729831,2.352590916,276.5707298,2.72E-05,75.63161546,2.74E-09
53,annual,rcp26,2031-2060,DMI,ICHEC-EC-EARTH,HIRHAM5,r3i1p1,v2,3.334007474,3.110264149,276.4840075,3.60E-05,46.71768177,4.80E-09
54,annual,rcp26,2031-2060,GERICS,ICHEC-EC-EARTH,REMO2015,r12i1p1,v1,4.36860299,2.966874635,277.518603,3.43E-05,46.65374258,4.28E-09
55,annual,rcp26,2031-2060,GERICS,IPSL-IPSL-CM5A-LR,REMO2015,r1i1p1,v1,1.411606947,2.736272349,274.5616069,3.17E-05,80.92609639,3.75E-09
56,annual,rcp26,2031-2060,GERICS,MIROC-MIROC5,REMO2015,r1i1p1,v1,3.759155858,2.826378156,276.9091559,3.27E-05,78.45067597,4.24E-09
57,annual,rcp26,2031-2060,GERICS,MOHC-HadGEM2-ES,REMO2015,r1i1p1,v1,5.557902836,3.120585341,278.7079028,3.61E-05,53.41059848,4.90E-09
58,annual,rcp26,2031-2060,GERICS,NCC-NorESM1-M,REMO2015,r1i1p1,v1,4.098351286,3.105091666,277.2483513,3.59E-05,47.38072241,4.55E-09
59,annual,rcp26,2031-2060,GERICS,NOAA-GFDL-GFDL-ESM2G,REMO2015,r1i1p1,v1,0.932380743,2.885374915,274.0823807,3.34E-05,83.1594856,3.78E-09
60,annual,rcp26,2031-2060,KNMI,CNRM-CERFACS-CNRM-CM5,RACMO22E,r1i1p1,v2,2.168476588,2.371098052,275.3184766,2.74E-05,71.3531408,2.59E-09
61,annual,rcp26,2031-2060,KNMI,ICHEC-EC-EARTH,RACMO22E,r12i1p1,v1,2.853214992,2.569280055,276.003215,2.97E-05,49.9355765,2.89E-09
62,annual,rcp26,2031-2060,KNMI,MOHC-HadGEM2-ES,RACMO22E,r1i1p1,v2,4.029737305,2.73044156,277.1797373,3.16E-05,58.39606232,3.36E-09
63,annual,rcp26,2031-2060,KNMI,MPI-M-MPI-ESM-LR,RACMO22E,r1i1p1,v1,3.570515498,2.810093722,276.7205155,3.25E-05,55.30624519,3.28E-09
64,annual,rcp26,2031-2060,KNMI,NCC-NorESM1-M,RACMO22E,r1i1p1,v1,2.490305562,2.700863935,275.6403056,3.13E-05,50.29570029,3.10E-09
65,annual,rcp26,2031-2060,MPI-CSC,MPI-M-MPI-ESM-LR,REMO2009,r1i1p1,v1,4.319196527,2.893754586,277.4691965,3.35E-05,51.3412048,4.09E-09
66,annual,rcp26,2031-2060,MPI-CSC,MPI-M-MPI-ESM-LR,REMO2009,r2i1p1,v1,4.19164102,2.874624098,277.341641,3.33E-05,49.81344458,4.11E-09
