;Season;Experiment;Period;Institute;Model;Model Id;Ensemble;RCM Ver;TAS celsius;PR mm.year;TAS diff;PR diff;Previous Study
0;ANN;historical;1951-2000;CLMcom-ETH;ICHEC-EC-EARTH;COSMO-crCLIM-v1-1;r12i1p1;v1;1.7398109474610237;894.5313687926205;0.0;0.0;False
1;ANN;historical;1951-2000;CLMcom-ETH;MOHC-HadGEM2-ES;COSMO-crCLIM-v1-1;r1i1p1;v1;2.731402506045299;914.1729052891232;0.0;0.0;False
2;ANN;historical;1951-2000;CLMcom-ETH;MPI-M-MPI-ESM-LR;COSMO-crCLIM-v1-1;r1i1p1;v1;2.8759947241152304;988.6092901989822;0.0;0.0;False
3;ANN;historical;1951-2000;CLMcom-ETH;MPI-M-MPI-ESM-LR;COSMO-crCLIM-v1-1;r2i1p1;v1;2.9612057595076067;1017.7058604083813;0.0;0.0;False
4;ANN;historical;1951-2000;CLMcom-ETH;MPI-M-MPI-ESM-LR;COSMO-crCLIM-v1-1;r3i1p1;v1;2.877698395251741;981.4160630529492;0.0;0.0;False
5;ANN;historical;1951-2000;CLMcom-ETH;NCC-NorESM1-M;COSMO-crCLIM-v1-1;r1i1p1;v1;2.140915585843061;964.3878021510676;0.0;0.0;False
6;ANN;historical;1951-2000;CLMcom;CNRM-CERFACS-CNRM-CM5;CCLM4-8-17;r1i1p1;v1;1.4573038030336534;742.9954457883127;0.0;0.0;True
7;ANN;historical;1951-2000;CLMcom;ICHEC-EC-EARTH;CCLM4-8-17;r12i1p1;v1;1.6289074521873204;866.114167539228;0.0;0.0;True
8;ANN;historical;1951-2000;CLMcom;MOHC-HadGEM2-ES;CCLM4-8-17;r1i1p1;v1;2.4527698395252173;852.7803112986744;0.0;0.0;False
9;ANN;historical;1951-2000;CLMcom;MPI-M-MPI-ESM-LR;CCLM4-8-17;r1i1p1;v1;2.386381622334625;925.5046802370018;0.0;0.0;True
10;ANN;historical;1951-2000;CNRM;CNRM-CERFACS-CNRM-CM5;ALADIN53;r1i1p1;v1;0.6472356561881725;815.2672983534022;0.0;0.0;False
11;ANN;historical;1951-2000;CNRM;CNRM-CERFACS-CNRM-CM5;ALADIN63;r1i1p1;v2;1.9273246867443845;962.9026387623048;0.0;0.0;False
12;ANN;historical;1951-2000;CNRM;MOHC-HadGEM2-ES;ALADIN63;r1i1p1;v1;2.8558529347109243;1119.1342396640757;0.0;0.0;False
13;ANN;historical;1951-2000;CNRM;MPI-M-MPI-ESM-LR;ALADIN63;r1i1p1;v1;3.293833809628495;1091.538545576445;0.0;0.0;False
