;Årstid;Eksperiment;Periode;Institutt;Modell;Modell Id;Ensemble;RCM Ver;TAS celsius;PR mm.år;TAS-historical_1971-2000;TAS-historical_1985-2014;TAS-historical_1991-2020;TAS-rcp26_2041-2070;TAS-rcp26_2071-2100;TAS-rcp45_2041-2070;TAS-rcp45_2071-2100;TAS-rcp85_2041-2070;TAS-rcp85_2071-2100;PR-historical_1971-2000;PR-historical_1985-2014;PR-historical_1991-2020;PR-rcp26_2041-2070;PR-rcp26_2071-2100;PR-rcp45_2041-2070;PR-rcp45_2071-2100;PR-rcp85_2041-2070;PR-rcp85_2071-2100;Referansemodell
0;ANN;historical;1971-2000;CLMcom-ETH;CNRM-CERFACS-CNRM-CM5;COSMO-crCLIM-v1-1;r1i1p1;v1;0.07037639405206164;1028.6439684050013;0.0;0.34787407063197406;0.5146956319702554;;;;;2.501626394052039;4.082278113382927;0.0;0.6672333602447089;2.1689678016010223;;;;;5.759902417957501;11.461747599297132;False
1;ANN;historical;1971-2000;CLMcom-ETH;ICHEC-EC-EARTH;COSMO-crCLIM-v1-1;r12i1p1;v1;-0.043006505576158816;1140.713135715311;0.0;0.3154914033456748;0.4988963754646534;;;;;3.007115473977649;4.719214684014844;0.0;-0.487559120278754;0.4339222533613995;;;;;5.020956690145563;12.277948159968114;False
2;ANN;historical;1971-2000;CLMcom-ETH;ICHEC-EC-EARTH;COSMO-crCLIM-v1-1;r1i1p1;v1;0.3947548791821873;1171.231416875988;0.0;0.3129356412639481;0.3493552509293636;;;;;2.434276254646818;4.342820631970255;0.0;0.24436786001068883;-0.18696995793992227;;;;;0.12825674558280115;5.817272244229056;False
3;ANN;historical;1971-2000;CLMcom-ETH;ICHEC-EC-EARTH;COSMO-crCLIM-v1-1;r3i1p1;v1;0.49347118959110503;1134.6287962340068;0.0;0.321212825278792;0.2482574349442075;;;;;2.8418331784386623;4.34375;0.0;0.03560942184088557;-0.0021954970740230943;;;;;6.864356413143236;9.703172647341924;False
4;ANN;historical;1971-2000;CLMcom-ETH;MOHC-HadGEM2-ES;COSMO-crCLIM-v1-1;r1i1p1;v1;1.0613150557621225;1158.0203107658594;0.0;0.5698478159850993;0.7862453531598135;;;;;3.5726068773233806;5.499535315985099;0.0;1.8572907014604305;1.9556868972478139;;;;;8.125635025309492;12.884297338981542;False
5;ANN;historical;1971-2000;CLMcom-ETH;MPI-M-MPI-ESM-LR;COSMO-crCLIM-v1-1;r1i1p1;v1;1.6525673791821873;1244.2173780755704;0.0;-0.03331203531598703;-0.18598977695165786;;;;;2.1154158921933117;3.4617216542750953;0.0;0.13448459995464715;-0.468048557765723;;;;;6.881299931743474;12.98615436478705;False
6;ANN;historical;1971-2000;CLMcom-ETH;MPI-M-MPI-ESM-LR;COSMO-crCLIM-v1-1;r2i1p1;v1;1.5394749070632088;1282.8280448913574;0.0;0.1664440055762384;0.19615473977694364;;;;;2.3744772304833077;3.3302160780669396;0.0;-0.4631339325622273;-0.5782658701174138;;;;;3.163172906060239;4.149382965038328;False
7;ANN;historical;1971-2000;CLMcom-ETH;MPI-M-MPI-ESM-LR;COSMO-crCLIM-v1-1;r3i1p1;v1;1.347095724907092;1230.4633707500523;0.0;0.1383596654275152;0.3464509758364329;;;;;2.553438661710004;3.861988847583632;0.0;-1.3322370246585171;-2.2831220112528587;;;;;6.639901225666584;15.294855681055866;False
8;ANN;historical;1971-2000;CLMcom-ETH;NCC-NorESM1-M;COSMO-crCLIM-v1-1;r1i1p1;v1;0.46091426579926065;1230.6314090010624;0.0;0.32972235130114314;0.55701092007439;;;;;2.2585676115241995;3.720550650557641;0.0;1.0897696494709084;1.0171994268603826;;;;;6.2233715713477356;10.448824720184255;False
9;ANN;historical;1971-2000;CLMcom;CCCma-CanESM2;CCLM4-8-17;r1i1p1;v1;0.7385629646840357;1237.4435136253949;0.0;0.4280611059479611;0.5853276022305067;;;;;3.418360827137576;5.046032760223056;0.0;1.575244823335357;2.2820040611263286;;;;;3.5832579457990206;5.933539009009597;False
