;Season;Experiment;Period;Institute;Model;Model Id;Ensemble;RCM Ver;TAS celsius;PR mm.year;TAS diff;PR diff;Previous Study
0;ANN;historical;1951-2000;CLMcom-ETH;ICHEC-EC-EARTH;COSMO-crCLIM-v1-1;r12i1p1;v1;-0.09429600371743163;1136.3107083510731;0.0;0.0;False
1;ANN;historical;1951-2000;CLMcom-ETH;MOHC-HadGEM2-ES;COSMO-crCLIM-v1-1;r1i1p1;v1;1.0135687732342262;1153.6867157151044;0.0;0.0;False
2;ANN;historical;1951-2000;CLMcom;ICHEC-EC-EARTH;CCLM4-8-17;r12i1p1;v1;-0.3518471189590855;1117.1728122771672;0.0;0.0;True
3;ANN;historical;1951-2000;CNRM;CNRM-CERFACS-CNRM-CM5;ALADIN53;r1i1p1;v1;-2.366252323420042;927.2776795530408;0.0;0.0;False
4;ANN;historical;1951-2000;CNRM;CNRM-CERFACS-CNRM-CM5;ALADIN63;r1i1p1;v2;-0.5274686338289598;1239.2650570069547;0.0;0.0;False
5;ANN;historical;1951-2000;DMI;CNRM-CERFACS-CNRM-CM5;HIRHAM5;r1i1p1;v2;-0.2759293680297219;1289.2421239315356;0.0;0.0;False
6;ANN;historical;1951-2000;DMI;ICHEC-EC-EARTH;HIRHAM5;r12i1p1;v1;-0.17724210037169996;1386.884366108804;0.0;0.0;False
7;ANN;historical;1951-2000;DMI;ICHEC-EC-EARTH;HIRHAM5;r1i1p1;v1;-0.12211895910780868;1424.9707055080778;0.0;0.0;False
8;ANN;historical;1951-2000;DMI;ICHEC-EC-EARTH;HIRHAM5;r3i1p1;v2;0.009154275092953412;1378.8714107583005;0.0;0.0;True
9;ANN;historical;1951-2000;DMI;MOHC-HadGEM2-ES;HIRHAM5;r1i1p1;v2;1.0240241635688108;1431.9308542352182;0.0;0.0;False
10;ANN;historical;1951-2000;GERICS;CNRM-CERFACS-CNRM-CM5;REMO2015;r1i1p1;v2;0.5487685873605983;1139.279019926782;0.0;0.0;False
11;ANN;historical;1951-2000;GERICS;IPSL-IPSL-CM5A-MR;REMO2015;r1i1p1;v1;-0.7203996282527783;1108.426628901613;0.0;0.0;False
12;ANN;historical;1951-2000;GERICS;MPI-M-MPI-ESM-LR;REMO2015;r3i1p1;v1;1.0074697955390661;1188.6282924493448;0.0;0.0;False
13;ANN;historical;1951-2000;GERICS;NCC-NorESM1-M;REMO2015;r1i1p1;v1;1.2299372676579878;1308.696430132181;0.0;0.0;False
14;ANN;historical;1951-2000;MPI-CSC;MPI-M-MPI-ESM-LR;REMO2009;r1i1p1;v1;1.3981819237918671;1207.6113704467352;0.0;0.0;True
15;ANN;historical;1951-2000;MPI-CSC;MPI-M-MPI-ESM-LR;REMO2009;r2i1p1;v1;1.4719505111524427;1257.3198820910932;0.0;0.0;False
16;ANN;historical;1951-2000;RMIB-UGent;CNRM-CERFACS-CNRM-CM5;ALARO-0;r1i1p1;v1;-2.458579228624501;886.9794192228841;0.0;0.0;False
17;ANN;historical;1951-2000;SMHI;ICHEC-EC-EARTH;RCA4;r12i1p1;v1;-1.545126626394051;1263.1487772090284;0.0;0.0;True
18;ANN;historical;1951-2000;SMHI;ICHEC-EC-EARTH;RCA4;r1i1p1;v1;-1.2416298791821418;1263.2583626223984;0.0;0.0;False
19;ANN;historical;1951-2000;SMHI;ICHEC-EC-EARTH;RCA4;r3i1p1;v1;-1.4056342936802935;1219.226877975752;0.0;0.0;False
20;ANN;historical;1951-2000;SMHI;MOHC-HadGEM2-ES;RCA4;r1i1p1;v1;-0.09397653345723711;1313.7052374009083;0.0;0.0;True
21;ANN;historical;1951-2000;SMHI;MPI-M-MPI-ESM-LR;RCA4;r1i1p1;v1a;0.19645097583645565;1317.2931490556014;0.0;0.0;True
22;ANN;historical;1951-2000;SMHI;MPI-M-MPI-ESM-LR;RCA4;r2i1p1;v1;-0.17003949814125008;1338.9969608154438;0.0;0.0;False
23;ANN;historical;1951-2000;SMHI;MPI-M-MPI-ESM-LR;RCA4;r3i1p1;v1;-0.06998722118959222;1322.6900394632028;0.0;0.0;False
24;ANN;historical;1951-2000;SMHI;NCC-NorESM1-M;RCA4;r1i1p1;v1;-1.283190055762077;1274.7719327728767;0.0;0.0;False
25;ANN;rcp26;2031-2060;CLMcom;ICHEC-EC-EARTH;CCLM4-8-17;r12i1p1;v1;1.4666937732342262;1171.2497721595835;1.8185408921933117;4.8405187888693275;True
26;ANN;rcp26;2031-2060;CNRM;CNRM-CERFACS-CNRM-CM5;ALADIN53;r1i1p1;v1;-0.7860558378652058;1018.2816460119304;1.5801964855548363;9.814100831452626;False
27;ANN;rcp26;2031-2060;CNRM;CNRM-CERFACS-CNRM-CM5;ALADIN63;r1i1p1;v2;1.048623373605949;1309.117836851391;1.5760920074349087;5.6366295046794255;False
28;ANN;rcp26;2031-2060;DMI;ICHEC-EC-EARTH;HIRHAM5;r3i1p1;v2;1.393622211895945;1443.8141522409746;1.3844679368029915;4.709847559096134;True
29;ANN;rcp26;2031-2060;DMI;MOHC-HadGEM2-ES;HIRHAM5;r1i1p1;v2;3.288719795539066;1529.6872706467555;2.2646956319702554;6.8268950363352605;False
30;ANN;rcp26;2031-2060;GERICS;ICHEC-EC-EARTH;REMO2015;r12i1p1;v1;2.866496282527919;1345.6712915551707;;;False
31;ANN;rcp26;2031-2060;GERICS;NCC-NorESM1-M;REMO2015;r1i1p1;v1;2.6591310408921913;1357.13154397711;1.4291937732342035;3.7010197880678106;False
32;ANN;rcp26;2031-2060;MPI-CSC;MPI-M-MPI-ESM-LR;REMO2009;r1i1p1;v1;2.935008131970278;1269.3300282174105;1.536826208178411;5.110804624822591;True
33;ANN;rcp26;2031-2060;MPI-CSC;MPI-M-MPI-ESM-LR;REMO2009;r2i1p1;v1;2.797810176579958;1257.398766107497;1.3258596654275152;0.006273981468644108;False
34;ANN;rcp26;2031-2060;RMIB-UGent;CNRM-CERFACS-CNRM-CM5;ALARO-0;r1i1p1;v1;-1.3515566914497867;947.9682359553624;1.1070225371747142;6.876012612097915;False
